requirement_id,section,official_requirement,official_notes,teaching_lessons,delivery_role,required_groups,worked_example_evidence,practice_evidence,assessment_evidence,prerequisites,risk_level,forbidden_pattern_count,current_gate_status,current_gate_messages,independent_semantic_status,defect_ids,release_status
S8.08,8,"Understand a given SQL statement and explain the semantics of its clauses, identifiers, operators and values.","Version 2 explicitly requires understanding a given SQL statement. Evidence must show what a statement does to its result or stored data, not only recognise isolated keywords.",85;90,CORE,7,L085#stage2-completion,L085#stage2-practice,L085-Q5;AQ086-Q4,S8.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.09,8,"Use DDL: CREATE DATABASE, CREATE TABLE with CHARACTER/VARCHAR/BOOLEAN/INTEGER/REAL/DATE/TIME, ALTER TABLE, primary and foreign keys.","Version 2 requires CREATE DATABASE, CREATE TABLE, ALTER TABLE, CHARACTER, VARCHAR(n), BOOLEAN, INTEGER, REAL, DATE, TIME, PRIMARY KEY(field) and FOREIGN KEY(field) REFERENCES Table(Field). Each named item remains core.",86;90,CORE,14,L086#stage2-completion,L086#stage2-practice,AQ091-Q2,S8.08,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.10,8,"Use DML on at most two tables: SELECT, FROM, WHERE, ORDER BY, GROUP BY, INNER JOIN, SUM, COUNT and AVG.","Version 2 limits DML scripts to data stored in at most two tables and names SELECT, FROM, WHERE, ORDER BY, GROUP BY, INNER JOIN, SUM, COUNT and AVG. The course uses explicit INNER JOIN ... ON for two-table core queries.",86;90,CORE,11,L086#stage2-completion,L086#stage2-practice,AR090-Q2,S8.02;S8.08,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.11,8,"Use INSERT, DELETE and UPDATE to maintain data.","Version 2 names INSERT INTO, DELETE FROM and UPDATE as required data-maintenance statements. Evidence must distinguish adding, removing and changing records and use WHERE when only selected records should be affected.",88;90,CORE,3,L088#stage2-completion,L088#stage2-practice,L088-Q1;L088-Q2;L088-Q3,S8.08,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.01,9,"Understand abstraction, its purpose/benefits and creation of an abstract model.","Abstraction is required both as a concept and as a practical modelling skill: explain its need and benefits, then produce an abstract model containing only details essential to the problem.",99;113,CORE,4,L099#stage2-completion,L099#stage2-practice,AQ101-Q4,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.02,9,Use decomposition and express a problem as modules.,"Decomposition must break a problem into sub-problems and lead to a program module, identified at design level as a procedure or function with a distinct responsibility.",99;103;113,CORE,5,L099#stage2-completion,L099#stage2-practice,L100-Q3;AR113-Q2,S9.01,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.03,9,Understand what an algorithm is.,An algorithm is a solution to a problem expressed as a sequence of defined steps; the definition requires both the problem-solving purpose and the defined sequence.,100;113,CORE,4,L100#stage2-completion,L100#stage2-practice,AQ101-Q3,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.04,9,Choose meaningful identifier names and construct an identifier table.,"Students must choose suitable meaningful identifier names and construct an identifier table that records each identifier's name, data type and purpose for the designed algorithm.",100;113,CORE,4,L100#stage2-completion,L100#stage2-practice,AQ101-Q3;AR113-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.05,9,Use input-process-output to design pseudocode solutions.,"Use input, process and output as the design structure for a complete pseudocode solution; the three parts must connect, use meaningful identifiers and satisfy the stated problem.",100;103;113,CORE,4,L100#stage2-completion,L100#stage2-practice,AM101-Q3;L112-Q3,S9.03;S9.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.06,9,"Understand and use sequence, selection and iteration.","The three basic algorithm constructs are sequence, selection and iteration (repetition); students must recognise and use each construct, including combinations of constructs.",101;113,CORE,3,L101#stage2-completion,L101#stage2-practice,L101-Q1;AQ101-Q5,S9.03,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.07,9,"Use structured English, flowcharts and pseudocode; convert between representations.","Document an algorithm using structured English, a flowchart or pseudocode; write pseudocode from structured English or a flowchart, and draw a flowchart from structured English or pseudocode while preserving the same algorithm.",102;113,CORE,5,L102#stage2-completion,L102#stage2-practice,AQ106-Q1;L102-Q4,S9.03;S9.06,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.08,9,Use stepwise refinement to develop an algorithm.,Use stepwise refinement to develop an algorithm from a high-level solution to a level of detail from which a program can be written; each level must preserve the parent purpose.,103;113,CORE,4,L103#stage2-completion,L103#stage2-practice,AR113-Q2;AQ151-Q1,S9.02;S9.03,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S9.09,9,Construct and interpret logic statements.,"Logic statements define parts of an algorithm solution, including decision conditions, loop conditions and Boolean assignments; students must both construct and interpret them.",104;113,CORE,4,L104#stage2-completion,L104#stage2-practice,AQ106-Q3,S9.06,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.01,10,"Understand integer, real, char, string, Boolean and date types and Cambridge pseudocode type names.","Select and use appropriate types for a problem solution. The Version 2 Notes name integer, real, char, string, Boolean and date, and require the Cambridge pseudocode type names INTEGER, REAL, CHAR, STRING, BOOLEAN, DATE, ARRAY and FILE.",114,CORE,8,L114#stage2-completion,L114#stage2-practice,L114-Q1;L114-Q3;AQ116-Q3,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.02,10,"Understand record purpose and define, read and save record data.","A record holds a set of related data of different data types under one identifier. Candidates must write pseudocode to define a record structure, read data from its named fields and save data to its named fields.",115,CORE,6,L115#stage2-completion,L115#stage2-practice,L119-Q1;AQ121-Q3,S10.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.03,10,"Understand array, index, lower bound and upper bound terminology.","Use the technical terms associated with arrays, including index, lower bound and upper bound. Bounds define the inclusive valid index range and an index selects one element.",116;118,CORE,4,L116#stage2-completion,L116#stage2-practice,AQ116-Q5;L116-Q3,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.04,10,Select one- or two-dimensional arrays for a scenario.,Select a suitable one-dimensional (1D) or two-dimensional (2D) array for a given task. One index suits a linear collection; two indexes suit data with a genuine row-column or equivalent two-coordinate relationship.,116;117,CORE,3,L116#stage2-completion,L116#stage2-practice,AQ121-Q1;L124-Q1,S10.03,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.05,10,Write pseudocode using one- and two-dimensional arrays.,"Write Cambridge pseudocode for 1D and 2D arrays: declare explicit inclusive bounds and an element type, use the required number of indexes, and traverse only valid positions.",116;117,CORE,4,L116#stage2-completion,L116#stage2-practice,AQ121-Q1;L116-Q1,S10.03,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.06,10,Write bubble sort and linear search algorithms.,"When processing array data, candidates must write a bubble-sort algorithm and a linear-search algorithm. A trace alone is not sufficient evidence of the ability to write each complete algorithm.",118;119,CORE,3,L118#stage2-completion,L118#stage2-practice,AM121-Q2,S10.03,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.07,10,Explain the need for files and use text-file pseudocode.,"Show why files are needed for persistent data beyond one program run, and write Cambridge pseudocode to handle text files consisting of one or more lines, including opening, processing and closing in the correct mode.",120,CORE,4,L120#stage2-completion,L120#stage2-practice,L121-Q1;AM121-Q4,S10.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.08,10,Understand the definition and purpose of an abstract data type.,An abstract data type (ADT) is a collection of data and a set of operations on those data. Its behaviour is defined independently of a particular storage implementation.,121,CORE,4,L121#stage2-completion,L121#stage2-practice,L123-Q1;AR126-Q2,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.09,10,"Understand stack, queue and linked-list features; justify a structure.","Stack, queue and linked list are examples of ADTs. Describe their key features and justify which structure suits a given situation using LIFO, FIFO or link-based traversal/insertion/deletion evidence.",121;122,CORE,6,L121#stage2-completion,L121#stage2-practice,AQ126-Q2;AQ126-Q3;AQ126-Q4;L123-Q1,S10.08,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S10.10,10,"Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","Use stack, queue and linked list to store data; add, edit and delete data while preserving each ADT rule. Describe array implementations for all three. Candidates are not required to write pseudocode for these ADT operations.",121;122,CORE,9,L121#stage2-completion,L121#stage2-practice,AR126-Q2;AQ126-Q3,S10.03;S10.09,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.01,11,Write pseudocode from a flowchart or structured-English description.,Implement and write pseudocode from a given design presented as either a flowchart or structured English.,127,CORE,4,L127#stage2-completion,L127#stage2-practice,L141-Q1;AQ141-Q5,S9.07,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.02,11,"Use declarations, constants, variables, assignment, arithmetic/logical operations and input/output.",Write pseudocode for declaration and initialisation of constants; declaration of variables; assignment of values; expressions using arithmetic or logical operators; input from the keyboard; and output to the console.,128,CORE,8,L128#stage2-completion,L128#stage2-practice,AQ136-Q5,S10.01;S9.06,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.03,11,Use built-in/library and string functions.,Use built-in functions and library routines. Any function not given in the pseudocode guide will be provided; string manipulation functions will always be given in the question.,129,CORE,3,L129#stage2-completion,L129#stage2-practice,L134-Q2;AQ136-Q3,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.04,11,"Use IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops.","Use IF statements, including the ELSE clause and nested IF statements; CASE statements; count-controlled loops; post-condition loops; and pre-condition loops.",130,CORE,9,L130#stage2-completion,L130#stage2-practice,L130-Q1;L130-Q2;AQ131-Q2,S9.06,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.05,11,Select and justify a suitable loop structure.,Justify why one loop structure may be better suited to a problem than another.,130,CORE,3,L130#stage2-completion,L130#stage2-practice,AQ131-Q4,S11.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.06,11,Understand and use procedures with parameters passed by reference and by value.,"Define and use a procedure; explain when the use of a procedure is appropriate; use parameters with none, one or more values passed by reference or by value.",131,CORE,5,L131#stage2-completion,L131#stage2-practice,AM141-Q2,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.07,11,"Understand and use functions, including return values in expressions.",Define and use a function; explain when the use of a function is appropriate. A function is used in an expression and its return value replaces the function call.,131,CORE,4,L131#stage2-completion,L131#stage2-practice,L142-Q5,S11.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.08,11,"Use precise terminology: procedure/function header, interface, parameter, argument and return value.","Use the terminology procedure/function interface, header, parameter, argument and return value, and explain the relationship between these terms.",131,CORE,6,L131#stage2-completion,L131#stage2-practice,AR142-Q2,S11.06;S11.07,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S11.09,11,Write clear and efficient Cambridge pseudocode.,Write efficient pseudocode.,134,CORE,4,L134#stage2-completion,L134#stage2-practice,L140-Q2,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.01,12,"Understand why a program-development lifecycle is used; compare waterfall, iterative and RAD models and their stages.","Candidates should understand the purpose of a program-development lifecycle and the need for different lifecycles depending on the program being developed. Compare the principles, benefits and drawbacks of waterfall, iterative and Rapid Application Development (RAD). Lifecycle stages are analysis, design, coding, testing and maintenance.",143,CORE,7,L143#stage2-completion,L143#stage2-practice,L143-Q2;AQ146-Q2,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.02,12,"Understand, construct and use structure charts, including parameters, and derive pseudocode.","Use a structure chart to decompose a problem into subtasks and express the parameters passed between modules, procedures and functions. Describe its purpose, construct one for a given problem and derive equivalent pseudocode from it.",144,CORE,5,L144#stage2-completion,L144#stage2-practice,L145-Q1;AQ146-Q4,S11.06,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.03,12,Show understanding of the purpose of state-transition diagrams to document an algorithm.,The Version 2 table requires understanding the purpose; it does not require candidates to construct a state-transition diagram.,144,CORE,2,L144#stage2-completion,L144#stage2-practice,L145-Q1;AQ146-Q4,S9.07,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.04,12,"Identify and correct syntax, logic and runtime errors.","Understand different ways of exposing and avoiding faults in a program. Locate and identify syntax, logic and run-time errors in a program and correct identified errors.",145,CORE,3,L145#stage2-completion,L145#stage2-practice,AQ151-Q5,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.05,12,"Understand dry run, walkthrough, white-box, black-box, integration, alpha, beta, acceptance and stub testing.","Describe testing methods and select suitable test data: dry run, walkthrough, white-box, black-box, integration, alpha, beta and acceptance testing, and use of a stub.",146,CORE,9,L146#stage2-completion,L146#stage2-practice,L146-Q1;AR147-Q1;AQ146-Q5,S12.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.06,12,Show understanding of the need for a test strategy and test plan and their likely contents.,The Version 2 table requires understanding the need and likely contents; it does not require candidates to produce either document.,146,CORE,3,L146#stage2-completion,L146#stage2-practice,L146-Q2;AR147-Q2,S12.05,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.07,12,"Select normal, abnormal and extreme/boundary test data.","Choose suitable test data for a test plan, including normal, abnormal and extreme/boundary data.",146,CORE,3,L146#stage2-completion,L146#stage2-practice,L148-Q3,,High,1,Complete,,Fail,SCI-CONT-005,Blocked
S12.08,12,"Understand perfective, adaptive and corrective maintenance.","Understand the need for continuing maintenance of a program and the differences between perfective, adaptive and corrective maintenance.",146,CORE,4,L146#stage2-completion,L146#stage2-practice,L147-Q4,S12.01,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S12.09,12,Analyse and amend an existing program.,Analyse an existing program and make amendments to enhance functionality.,146,CORE,4,L146#stage2-completion,L146#stage2-practice,L147-Q5,S12.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
