"lessonNumber","lessonKey","unitIndex","syllabusId","unitHeading","leadVisualType","leadVisualTitle","leadVisualRole","coreExplanationRole","methodTitle","methodRole","workedExampleTitle","workedExampleRole","practiceQuestionIds","commandWords","duplicateFindings","repairStatus"
"044","S8-L03","1","S8.05","DBMS features: data dictionary, data modelling, logical schema, integrity, security, backup and access rights","reviewed-visual","What does a DBMS provide?","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L041-01 | V3-Q-L041-02 | V3-Q-L041-03 | V3-041-S8.05-CHECK","Identify | Explain","none","PASS"
"044","S8-L03","2","S8.06","The developer interface and query processor","cards","Visual overview · The developer interface and query processor","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L041-03","Explain","none","PASS"
"045","S8-L04","1","S8.07","DDL creates/modifies structure, DML queries/maintains data, and SQL is an industry-standard language","reviewed-visual","INSERT, UPDATE and DELETE are data manipulation commands","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L042-01 | V3-Q-L042-02 | V3-Q-L042-03","Identify | Explain","none","PASS"
"046","S8-L05","1","S8.08","A given SQL statement and explain the semantics of its clauses, identifiers, operators and values","reviewed-visual","The three foundation clauses","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L043-01 | V3-Q-L043-02 | V3-Q-L043-03","Identify | Explain | State","none","PASS"
"046","S8-L05","2","S8.09","DDL: CREATE DATABASE, CREATE TABLE with CHARACTER/VARCHAR/BOOLEAN/INTEGER/REAL/DATE/TIME, ALTER TABLE, primary and foreign keys","cards","Visual overview · DDL: CREATE DATABASE, CREATE TABLE with CHARACTER/VARCHAR/BOOLEAN/INTEGER/REAL/DATE/TIME, ALTER TABLE, primary and foreign keys","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L044-01 | V3-043-S8.09-CHECK","Write | Complete","none","PASS"
"047","S8-L06","1","S8.10","Use DML on at most two tables: SELECT, FROM, WHERE, ORDER BY, GROUP BY, INNER JOIN, SUM, COUNT and AVG.","reviewed-visual","Two-table INNER JOIN with ON","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L043-01 | V3-Q-L043-02 | V3-Q-L043-03 | V3-043-S8.10-CHECK","Identify | Explain | State | Complete","none","PASS"
"047","S8-L06","2","S8.11","INSERT, DELETE and UPDATE to maintain data","reviewed-visual","DELETE FROM removes records","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Maintain one Student record safely","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L044-02 | V3-Q-L044-03","Write | Explain","none","PASS"
"049","S9-L01","1","S9.01","Abstraction, its purpose/benefits and creation of an abstract model","reviewed-visual","Abstraction: keep the details that affect the algorithm","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L046-01 | V3-Q-L046-02 | V3-Q-L046-03","Write | Develop | Explain","none","PASS"
"050","S9-L02","1","S9.02","Decomposition and express a problem as modules: Decomposition and modular problem solving","reviewed-visual","Decomposition: split the problem into sub-problems","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L047-01 | V3-Q-L047-02 | V3-Q-L047-03","State | Compare | Explain","none","PASS"
"051","S9-L03","1","S9.03","What an algorithm is","reviewed-visual","An algorithm is a solution expressed as defined steps","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L048-01 | V3-Q-L048-02 | V3-Q-L048-03","Complete | State","none","PASS"
"051","S9-L03","2","S9.04","Choose meaningful identifier names and construct an identifier table","reviewed-visual","Readable notation earns marks more easily","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L048-01 | V3-Q-L048-02 | V3-Q-L048-03","Complete | State","none","PASS"
"052","S9-L04","1","S9.05","Input-process-output to design pseudocode solutions: Input-process-output solution design","reviewed-visual","Turn paragraphs into a design table","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L049-01 | V3-Q-L049-02 | V3-Q-L049-03","State | Explain","none","PASS"
"053","S9-L05","1","S9.06","And use sequence, selection and iteration","reviewed-visual","Real algorithms usually combine the three structures","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L050-01 | V3-Q-L050-02 | V3-Q-L050-03","Develop | Identify","none","PASS"
"054","S9-L06","1","S9.07","Structured English, flowcharts and pseudocode; convert between representations","reviewed-visual","Flowcharts use symbols to show control flow","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L051-01 | V3-Q-L051-02 | V3-Q-L051-03","Calculate | Explain | Identify","none","PASS"
"055","S9-L07","1","S9.08","Stepwise refinement to develop an algorithm: Stepwise refinement","cards","Visual overview · Stepwise refinement to develop an algorithm: Stepwise refinement","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L052-01 | V3-Q-L052-02 | V3-Q-L052-03","State | Explain","none","PASS"
"056","S9-L08","1","S9.09","Logic statements","reviewed-visual","A diamond becomes IF...THEN...ELSE","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Constructing a logic statement","Carry out a genuine calculation, algorithm, operation or physical process.","Construct and test an eligibility condition","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L053-01 | V3-Q-L053-02 | V3-Q-L053-03","Write | Identify | State","none","PASS"
"057","S9-L09","1","S9.02","Decomposition and express a problem as modules: Integrated algorithm design from a word problem","cards","Visual overview · Decomposition and express a problem as modules: Integrated algorithm design from a word problem","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L054-01 | V3-Q-L054-02 | V3-Q-L054-03","State | Explain","none","PASS"
"057","S9-L09","2","S9.05","Input-process-output to design pseudocode solutions: Integrated algorithm design from a word problem","cards","Visual overview · Input-process-output to design pseudocode solutions: Integrated algorithm design from a word problem","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L054-02 | V3-Q-L054-03","State | Explain","none","PASS"
"057","S9-L09","3","S9.08","Stepwise refinement to develop an algorithm: Integrated algorithm design from a word problem","reviewed-visual","Stepwise refinement turns a high-level algorithm into implementable modules","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L054-02 | V3-Q-L054-03","State | Explain","none","PASS"
"058","S10-L01","1","S10.01","Integer, real, char, string, Boolean and date types and Cambridge pseudocode type names","reviewed-visual","The eight Cambridge pseudocode type names","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Integer, real, char, string, Boolean and date types and Cambridge pseudocode type names","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L055-01 | V3-Q-L055-02 | V3-Q-L055-03 | V3-055-S10.01-CHECK","Select | Identify | Suggest | Explain","none","PASS"
"059","S10-L02","1","S10.02","Record purpose and define, read and save record data","reviewed-visual","Define a record, then save and read named fields","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L056-01 | V3-Q-L056-02 | V3-Q-L056-03","Define | Explain | State","none","PASS"
"060","S10-L03","1","S10.03","Array, index, lower bound and upper bound terminology","reviewed-visual","The index points to exactly one element","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L057-01 | V3-Q-L057-02 | V3-Q-L057-03","Write | Explain | Define","none","PASS"
"061","S10-L04","1","S10.04","Select one- or two-dimensional arrays for a scenario: Selecting and using one-dimensional arrays","reviewed-visual","A one-dimensional array is a linear collection","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L058-01 | V3-Q-L058-02 | V3-Q-L058-03","Write | Explain | State","none","PASS"
"061","S10-L04","2","S10.05","Pseudocode using one- and two-dimensional arrays: Selecting and using one-dimensional arrays","reviewed-visual","Cambridge bounds and Java indexes are not the same habit","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L058-01 | V3-Q-L058-02","Write | Explain","none","PASS"
"062","S10-L05","1","S10.04","Select one- or two-dimensional arrays for a scenario: Selecting and using two-dimensional arrays","cards","Visual overview · Select one- or two-dimensional arrays for a scenario: Selecting and using two-dimensional arrays","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L059-01 | V3-Q-L059-02 | V3-Q-L059-03","Write | Suggest | State","none","PASS"
"062","S10-L05","2","S10.05","Pseudocode using one- and two-dimensional arrays: Selecting and using two-dimensional arrays","cards","Visual overview · Pseudocode using one- and two-dimensional arrays: Selecting and using two-dimensional arrays","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L059-01 | V3-Q-L059-02 | V3-Q-L059-03","Write | Suggest | State","none","PASS"
"063","S10-L06","1","S10.06","Bubble sort and linear search algorithms: Linear search using arrays","reviewed-visual","Linear search checks each item in order","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Linear search procedure","Carry out a genuine calculation, algorithm, operation or physical process.","Write a bounded linear search","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L060-01 | V3-Q-L060-02 | V3-Q-L060-03","Write | Describe | Explain","none","PASS"
"064","S10-L07","1","S10.06","Bubble sort and linear search algorithms: Bubble sort using arrays","flow","Process · Bubble sort and linear search algorithms: Bubble sort using arrays","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Write and trace an ascending bubble sort","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L061-01 | V3-Q-L061-02 | V3-Q-L061-03","Write | Describe | Explain","none","PASS"
"065","S10-L08","1","S10.07","The need for files and use text-file pseudocode","reviewed-visual","Cambridge pseudocode is the exam answer format","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L062-01 | V3-Q-L062-02 | V3-Q-L062-03","Write | Explain","none","PASS"
"066","S10-L09","1","S10.08","The definition and purpose of an abstract data type","reviewed-visual","An ADT is data together with permitted operations","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L063-01 | V3-Q-L063-02 | V3-Q-L063-03","Give | Describe | Write","none","PASS"
"067","S10-L10","1","S10.09","Stack, queue and linked-list features; justify a structure: Stacks and LIFO operations","reviewed-visual","Why two ends create FIFO","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L064-01 | V3-Q-L064-02 | V3-064-S10.09-CHECK","Suggest | Identify | Explain","none","PASS"
"067","S10-L10","2","S10.10","Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","reviewed-visual","Implement stack, queue and linked list using arrays","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L064-01 | V3-Q-L064-02 | V3-Q-L064-03","Suggest | Identify | State","none","PASS"
"068","S10-L11","1","S10.09","Stack, queue and linked-list features; justify a structure: Queues and FIFO operations","cards","Visual overview · Stack, queue and linked-list features; justify a structure: Queues and FIFO operations","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L065-01 | V3-Q-L065-02","Justify | Suggest","none","PASS"
"068","S10-L11","2","S10.10","Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","cards","Visual overview · Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L065-01 | V3-Q-L065-02 | V3-Q-L065-03","Justify | Suggest | State","none","PASS"
"069","S10-L12","1","S10.09","Stack, queue and linked-list features; justify a structure: Linked-list features and operations","cards","Visual overview · Stack, queue and linked-list features; justify a structure: Linked-list features and operations","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L066-01 | V3-066-S10.09-CHECK","Identify | Explain","none","PASS"
"069","S10-L12","2","S10.10","Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","cards","Visual overview · Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L066-01 | V3-Q-L066-02 | V3-Q-L066-03","Identify | State | Explain","none","PASS"
"070","S10-L13","1","S10.10","Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","cards","Visual overview · Add, edit and delete data in the ADTs and implement them using arrays; pseudocode for operations is not required by the syllabus.","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L067-01 | V3-Q-L067-02 | V3-Q-L067-03","Compare | State | Explain","none","PASS"
"071","S10-L14","1","S10.04","Select one- or two-dimensional arrays for a scenario: Choosing and combining data structures","cards","Visual overview · Select one- or two-dimensional arrays for a scenario: Choosing and combining data structures","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L068-01 | V3-Q-L068-02 | V3-Q-L068-03","State | Explain","none","PASS"
"071","S10-L14","2","S10.09","Stack, queue and linked-list features; justify a structure: Choosing and combining data structures","cards","Visual overview · Stack, queue and linked-list features; justify a structure: Choosing and combining data structures","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Stack, queue and linked-list features; justify a structure: Choosing and combining data structures","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L068-02 | V3-Q-L068-03","State | Explain","none","PASS"
"072","S11-L01","1","S11.01","Pseudocode from a flowchart or structured-English description: Translating descriptions into Cambridge pseudocode","reviewed-visual","Translate a flowchart or structured English into pseudocode","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","From flowchart to pseudocode","Carry out a genuine calculation, algorithm, operation or physical process.","Translate structured English into a complete selection","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L069-01 | V3-Q-L069-02 | V3-Q-L069-03","Explain | Describe | State","none","PASS"
"073","S11-L02","1","S11.02","Declarations, constants, variables, assignment, arithmetic/logical operations and input/output: Declarations, assignment and input/output","reviewed-visual","The symbol changes, the update idea does not","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Declarations, assignment and input/output","Carry out a genuine calculation, algorithm, operation or physical process.","Declare, input, calculate and output without losing an operator","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L070-01 | V3-Q-L070-02 | V3-Q-L070-03 | V3-070-S11.02-CHECK","Write | Identify | Explain","none","PASS"
"074","S11-L03","1","S11.02","Declarations, constants, variables, assignment, arithmetic/logical operations and input/output: Arithmetic and logical expressions","flow","Process · Declarations, constants, variables, assignment, arithmetic/logical operations and input/output: Arithmetic and logical expressions","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Declare, input, calculate and output without losing an operator","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L071-01 | V3-Q-L071-02 | V3-Q-L071-03 | V3-071-S11.02-CHECK","State | Write","none","PASS"
"075","S11-L04","1","S11.03","Built-in/library and string functions","reviewed-visual","Use the string-function definition supplied in the question","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L072-01 | V3-Q-L072-02 | V3-Q-L072-03","Explain | State","none","PASS"
"076","S11-L05","1","S11.04","IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: IF, ELSE and CASE selection","flow","Process · IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: IF, ELSE and CASE selection","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Choose and trace the right loop","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L073-01 | V3-Q-L073-02 | V3-Q-L073-03 | V3-073-S11.04-CHECK","State | Identify | Complete","none","PASS"
"077","S11-L06","1","S11.04","IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: Count-controlled iteration","flow","Process · IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: Count-controlled iteration","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Choose and trace the right loop","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L074-01 | V3-Q-L074-02 | V3-Q-L074-03","Identify | State | Explain","none","PASS"
"078","S11-L07","1","S11.04","IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: Pre-condition and post-condition loops","flow","Process · IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: Pre-condition and post-condition loops","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Choose and trace the right loop","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L075-01 | V3-Q-L075-02 | V3-Q-L075-03","State | Explain | Write","none","PASS"
"079","S11-L08","1","S11.05","A suitable loop structure","reviewed-visual","The difference is when the condition is tested","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L076-01 | V3-Q-L076-02 | V3-Q-L076-03","Identify | Explain | Write","none","PASS"
"080","S11-L09","1","S11.06","And use procedures with parameters passed by reference and by value: Procedures and parameter passing","reviewed-visual","Same procedure body, different final result","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Procedure parameter passing","Carry out a genuine calculation, algorithm, operation or physical process.","Contrast BYVAL and BYREF","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L077-01 | V3-Q-L077-02 | V3-Q-L077-03","Define | Compare | State","none","PASS"
"081","S11-L10","1","S11.07","And use functions, including return values in expressions: Functions, interfaces and return values","reviewed-visual","Function calls can appear where a value is needed","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Functions and return values","Carry out a genuine calculation, algorithm, operation or physical process.","Use a returned value in an expression","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L078-01 | V3-Q-L078-02 | V3-Q-L078-03 | V3-078-S11.07-CHECK","State | Explain","none","PASS"
"081","S11-L10","2","S11.08","Precise terminology: procedure/function header, interface, parameter, argument and return value","reviewed-visual","A subprogram interface connects caller and header","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L078-01 | V3-Q-L078-02 | V3-Q-L078-03 | V3-078-S11.08-CHECK","State | Explain | Complete","none","PASS"
"082","S11-L11","1","S11.09","Clear and efficient Cambridge pseudocode","reviewed-visual","Java methods can model modularity, but Cambridge pseudocode remains the exam format","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L079-01 | V3-Q-L079-02 | V3-Q-L079-03","Write | Explain","none","PASS"
"083","S11-L12","1","S11.01","Pseudocode from a flowchart or structured-English description: Writing complete program fragments","flow","Process · Pseudocode from a flowchart or structured-English description: Writing complete program fragments","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Translate structured English into a complete selection","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L080-02","Explain","none","PASS"
"083","S11-L12","2","S11.04","IF/ELSE/nested selection, CASE, count-controlled loops, post-condition and pre-condition loops: Writing complete program fragments","reviewed-visual","Use CASE for clear values of one expression","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","Selecting and testing a control structure","Carry out a genuine calculation, algorithm, operation or physical process.","Choose and trace the right loop","Apply the concept to concrete data, state, code or a scenario.","V3-080-S11.04-CHECK","Complete","none","PASS"
"083","S11-L12","3","S11.06","And use procedures with parameters passed by reference and by value: Writing complete program fragments","flow","Process · And use procedures with parameters passed by reference and by value: Writing complete program fragments","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Contrast BYVAL and BYREF","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L080-01 | V3-080-S11.06-CHECK","State | Explain","none","PASS"
"083","S11-L12","4","S11.07","And use functions, including return values in expressions: Writing complete program fragments","flow","Process · And use functions, including return values in expressions: Writing complete program fragments","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Use a returned value in an expression","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L080-03","Write","none","PASS"
"084","S12-L01","1","S12.01","Why a program-development lifecycle is used; compare waterfall, iterative and RAD models and their stages","reviewed-visual","Rapid application development (RAD)","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L081-01 | V3-Q-L081-02 | V3-Q-L081-03 | V3-081-S12.01-CHECK","Compare | Identify | Explain","none","PASS"
"085","S12-L02","1","S12.02","Understand, construct and use structure charts, including parameters, and derive pseudocode","reviewed-visual","Structure charts, derived pseudocode and state transitions","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L082-01 | V3-Q-L082-02 | V3-Q-L082-03","Explain | State | Describe","none","PASS"
"086","S12-L03","1","S12.03","The purpose of state-transition diagrams to document an algorithm","cards","Visual overview · The purpose of state-transition diagrams to document an algorithm","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L083-01 | V3-Q-L083-02 | V3-Q-L083-03","State | Compare","none","PASS"
"087","S12-L04","1","S12.04","Syntax, logic and runtime errors","reviewed-visual","Logic errors make the program do the wrong thing","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","Correct a boundary logic error","Apply the concept to concrete data, state, code or a scenario.","V3-Q-L084-01 | V3-Q-L084-02 | V3-Q-L084-03 | V3-084-S12.04-CHECK","Explain | State","none","PASS"
"088","S12-L05","1","S12.05","Dry run, walkthrough, white-box, black-box, integration, alpha, beta, acceptance and stub testing","reviewed-visual","Good testing uses different categories of data","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L085-01 | V3-Q-L085-02 | V3-Q-L085-03 | V3-085-S12.05-CHECK","Identify | Explain","none","PASS"
"089","S12-L06","1","S12.06","The need for a test strategy and test plan and their likely contents","reviewed-visual","Test strategy and test plan are different documents","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L086-01 | V3-Q-L086-02 | V3-Q-L086-03","State | Explain","none","PASS"
"090","S12-L07","1","S12.07","Select normal, abnormal and extreme/boundary test data","reviewed-visual","Extreme or boundary data uses valid values at accepted limits","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L087-01 | V3-Q-L087-02 | V3-Q-L087-03","Give | Explain","none","PASS"
"091","S12-L08","1","S12.08","Perfective, adaptive and corrective maintenance","reviewed-visual","Maintenance changes a system after it has been delivered","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L088-01 | V3-Q-L088-02 | V3-Q-L088-03","Identify | Explain | State","none","PASS"
"092","S12-L09","1","S12.09","Analyse and amend an existing program","reviewed-visual","Analyse and amend an existing program","Establish the concept, process, comparison or relationship before prose explanation.","Explain the concept, mechanism and causal relationships once.","","Not required.","","Not required.","V3-Q-L089-01 | V3-Q-L089-02 | V3-Q-L089-03","Identify | Explain","none","PASS"
