"lesson","section","syllabus_id","severity","confidence","atomic_objectives","visible_evidence","hidden_evidence","worked_example","practice_coverage","rendered_risk","finding","remediation"
"050","9","S9.06","P2","high","sequence; selection; iteration","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Demonstrate nested sequence, selection and iteration with a trace."
"051","9","S9.07","P1","high","structured; english; flowcharts; pseudocode; convert","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/5 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Convert the same algorithm among all three required representations."
"052","9","S9.08","P2","high","stepwise; refinement; algorithm; implement","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/4 objective groups named in question prompts","no visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Show at least three refinement levels and termination at executable steps."
"053","9","S9.09","P2","high","logic; statements; condition; algorithm","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/4 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Construct and interpret logic statements in a traced algorithm context."
"054","9","S9.02","P1","high","decomposition; problem; modules; procedure; function","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/5 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Restore the full integrated example and keep decomposition/refinement evidence distinct."
"054","9","S9.05","P1","high","input process output; design; pseudocode; solution","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/4 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Restore the full integrated example and keep decomposition/refinement evidence distinct."
"054","9","S9.08","P1","high","stepwise; refinement; algorithm; implement","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","1/4 objective groups named in question prompts","single visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Restore the full integrated example and keep decomposition/refinement evidence distinct."
"055","10","S10.01","P2","high","integer; real; char; string; boolean; date; array; file","8/8 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","1/8 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Remove truncation and show declaration syntax for every Cambridge type."
"056","10","S10.02","P2","high","record; different data types; one identifier; define; read; save","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/6 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Define, populate, read and save one record with named fields."
"057","10","S10.03","P2","high","array; index; lower bound; upper bound","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Demonstrate declared bounds, valid indexes and one out-of-bounds failure."
"058","10","S10.04","P1","high","one dimensional/1d; two dimensional/2d; select/suitable","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/3 objective groups named in question prompts","carousel 2","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Require selection and complete use of a one-dimensional array."
"058","10","S10.05","P1","high","pseudocode; one dimensional/1d; two dimensional/2d; array","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/4 objective groups named in question prompts","carousel 2","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Require selection and complete use of a one-dimensional array."
"059","10","S10.04","P2","high","one dimensional/1d; two dimensional/2d; select/suitable","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/3 objective groups named in question prompts","no visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Provide complete two-dimensional declaration, traversal and update pseudocode."
"059","10","S10.05","P2","high","pseudocode; one dimensional/1d; two dimensional/2d; array","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/4 objective groups named in question prompts","no visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Provide complete two-dimensional declaration, traversal and update pseudocode."
"060","10","S10.06","P0","high","bubble sort; linear search; write","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/3 objective groups named in question prompts","carousel 2","The page describes linear search but does not teach and assess a complete writable algorithm.","R1+R2+R3: add complete bounded pseudocode, trace found/not-found cases and require the learner to write it."
"061","10","S10.06","P0","high","bubble sort; linear search; write","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/3 objective groups named in question prompts","no visual","The page describes bubble sort but does not teach and assess a complete writable algorithm.","R1+R2+R3: add nested-loop/early-stop pseudocode, pass traces and a complete writing task."
"062","10","S10.07","P2","high","files; persistent; text file; pseudocode","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Show the full open/read/write/close lifecycle and error-safe file use."
"063","10","S10.08","P2","high","abstract; type; collection of data; set of operations","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","0/4 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Separate ADT interface from implementation with permitted-operation examples."
"064","10","S10.09","P2","high","stack; queue; linked list; lifo; fifo; justify","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/6 objective groups named in question prompts","carousel 2","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Keep the stack example focused on top pointer, overflow and underflow."
"064","10","S10.10","P2","high","add; edit; delete; stack; queue; linked list; array; not required; pseudocode","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/9 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Keep the stack example focused on top pointer, overflow and underflow."
"065","10","S10.09","P1","high","stack; queue; linked list; lifo; fifo; justify","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/6 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Give queue/front/rear behaviour and circular-array operations their own example."
"065","10","S10.10","P1","high","add; edit; delete; stack; queue; linked list; array; not required; pseudocode","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/9 objective groups named in question prompts","no visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Give queue/front/rear behaviour and circular-array operations their own example."
"066","10","S10.09","P1","high","stack; queue; linked list; lifo; fifo; justify","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/6 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Show data/link arrays, start pointer, free list, insertion and deletion diagrams."
"066","10","S10.10","P1","high","add; edit; delete; stack; queue; linked list; array; not required; pseudocode","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/9 objective groups named in question prompts","no visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Show data/link arrays, start pointer, free list, insertion and deletion diagrams."
"067","10","S10.10","P1","high","add; edit; delete; stack; queue; linked list; array; not required; pseudocode","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","3/9 objective groups named in question prompts","no visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Demonstrate add/edit/delete state changes rather than repeat the shared ADT summary."
"068","10","S10.04","P1","high","one dimensional/1d; two dimensional/2d; select/suitable","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/3 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Compare structures through scenario constraints and justify the chosen operations."
"068","10","S10.09","P1","high","stack; queue; linked list; lifo; fifo; justify","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","0/6 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Compare structures through scenario constraints and justify the chosen operations."
"069","11","S11.01","P2","high","pseudocode; flowchart; structured english/structured english; description/descriptions/design","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Translate one complete flowchart/structured-English design and trace equivalence."
"070","11","S11.02","P2","high","declaration/declarations; constants; variables; assignment; arithmetic; logical; input; output","8/8 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","4/8 objective groups named in question prompts","single visual; example truncation","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Remove truncation and show declarations, input, assignment and output together."
"071","11","S11.02","P1","high","declaration/declarations; constants; variables; assignment; arithmetic; logical; input; output","8/8 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","truncated","2/8 objective groups named in question prompts","no visual; example truncation","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Promote arithmetic/logical precedence and expression evaluation into visible teaching."
"072","11","S11.03","P2","high","built in/library; string; functions","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Demonstrate supplied string-function syntax and returned values in expressions."
"073","11","S11.04","P1","high","if; else; nested; selection; case; count controlled; loop/loops; post condition; pre condition","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/9 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Focus the page on IF/ELSE/nested IF/CASE and stop inheriting loop content."
"074","11","S11.04","P1","high","if; else; nested; selection; case; count controlled; loop/loops; post condition; pre condition","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/9 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Focus the page on complete FOR-loop syntax, bounds and counter traces."
"075","11","S11.04","P1","high","if; else; nested; selection; case; count controlled; loop/loops; post condition; pre condition","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/9 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Focus the page on WHILE/REPEAT execution counts and stopping conditions."
"076","11","S11.05","P1","high","loop; structure; justify","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/3 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Give scenario-linked loop-selection justifications, including zero-versus-one execution."
"077","11","S11.06","P2","high","procedure/procedures; parameters; passed/passes/pass; reference/byref; value/byval","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","5/5 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Trace BYVAL and BYREF state changes through caller and procedure."
"078","11","S11.07","P2","high","functions; return; values; expression/expressions","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Distinguish procedure/function interfaces and use a return value in an expression."
"078","11","S11.08","P2","high","procedure header; function header; interface; parameter; argument; return value","6/6 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/6 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Distinguish procedure/function interfaces and use a return value in an expression."
"079","11","S11.09","P1","high","clear; efficient; cambridge; pseudocode","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/4 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Replace generic clarity claims with before/after pseudocode and efficiency evidence."
"080","11","S11.01","P1","high","pseudocode; flowchart; structured english/structured english; description/descriptions/design","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/4 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Add function practice and separate four inherited syllabus objectives into coherent units."
"080","11","S11.04","P1","high","if; else; nested; selection; case; count controlled; loop/loops; post condition; pre condition","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/9 objective groups named in question prompts","carousel 2","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Add function practice and separate four inherited syllabus objectives into coherent units."
"080","11","S11.06","P1","high","procedure/procedures; parameters; passed/passes/pass; reference/byref; value/byval","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/5 objective groups named in question prompts","no visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Add function practice and separate four inherited syllabus objectives into coherent units."
"080","11","S11.07","P0","high","functions; return; values; expression/expressions","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","0/4 objective groups named in question prompts","no visual","None of the three lesson questions requires a function or a returned value used in an expression.","R1+R3: teach function definition/call/return visibly and add a question using the return value inside an expression."
"081","12","S12.01","P1","high","rad; rapid prototyping; time box/timebox/time boxed/time boxing; user involvement; waterfall; iterative; limitation/less suitable/unsuitable","6/7 objective groups named in default materials; semantic depth reviewed separately","limitation/less suitable/unsuitable","present","4/7 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Compare waterfall, iterative and RAD through stages, feedback and scenario fit."
"082","12","S12.02","P2","high","structure; charts; parameters; derive; pseudocode","5/5 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/5 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Construct one structure chart and derive matching module pseudocode."
"083","12","S12.03","P2","high","state transition; diagrams","2/2 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/2 objective groups named in question prompts","no visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Explain purpose with a complete state/event/transition example."
"084","12","S12.04","P2","high","logic; runtime; errors","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Diagnose and correct one syntax, logic and runtime error with observed behaviour."
"085","12","S12.05","P1","high","walkthrough; white box; black box; integration; alpha; beta; acceptance; stub; testing","9/9 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/9 objective groups named in question prompts","single visual","Required terms are present, but the default flow lacks a complete objective-specific mechanism, example or mapped-practice loop.","R1+R2+R3: Teach and assess all nine testing approaches, including stub and acceptance testing."
"086","12","S12.06","P2","high","test; strategy; plan","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","2/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Contrast strategy and plan, then annotate a complete example of each."
"087","12","S12.07","P2","high","normal; abnormal; extreme/boundary","3/3 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","3/3 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Derive normal, abnormal and boundary data from an explicit validation rule."
"088","12","S12.08","P2","high","perfective; adaptive; corrective; maintenance","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","4/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Classify maintenance by cause and add regression-test consequences."
"089","12","S12.09","P2","high","analyse/analyze; amend; existing; program","4/4 objective groups named in default materials; semantic depth reviewed separately","coreFacts and answer disclosures add detail but are not credited alone","present","1/4 objective groups named in question prompts","single visual","The core idea is present, but delivery remains generic, partially hidden, visually dependent or incomplete in example/practice.","R2+R3+R4: Trace analyse–locate–amend–retest on one existing program."
"090","Review","REVIEW","P1","high","integrated retrieval; diagnosis; correction; transfer","four topic lanes are visible","answers and prior lessons carry most explanation","not applicable","broad lesson-level prompts without atomic mappings","review lanes conceal objective-level gaps","Review topics are named, but there is no auditable retrieval/correction loop for every contributing objective.","R1+R3: replace topic lanes with mapped retrieval prompts, model corrections and transfer tasks."
