lesson,target_id,title,target_type,delivery_role,classroom_activity,status,implementation_id,rationale,content_hash
052,map,Section 4 concept map,synthesis,OPTIONAL,EXTEND,Implemented,explanation-map,Explicit extension visual retained outside compulsory syllabus evidence.,ee17f5eea8768ce39e9bfabb1cb3da009d2b9e5cf48e855cbc5b9945184a8f1e
052,retrieval,"Retrieval grid: say the role, not just the name",synthesis,OPTIONAL,EXTEND,Implemented,explanation-retrieval,Explicit extension visual retained outside compulsory syllabus evidence.,1b82dc95f8e59285588dd001f80ff0bc28c29a0463135cc4c00057d0d2e8b339
052,timed,8-minute mixed Section 4 response,synthesis,OPTIONAL,EXTEND,Implemented,explanation-timed,Explicit extension visual retained outside compulsory syllabus evidence.,59b5d8e3ec4bb2fc1873f1340dcd1591f6c32cd45ffed6e6b87a6a17714a3532
053,categories,System software versus application software,mechanism,OPTIONAL,EXTEND,Implemented,explanation-categories,Explicit extension visual retained outside compulsory syllabus evidence.,a9e9887f9cdf8fddd8153eca013d6c06ed54c0285d028acbc52881172e11cf74
053,concept,System software supports the running and maintenance of the computer,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,16c2150718a70d07afe24e759b277d8cd78ada0dea1a5b266469fd477cb9e219
053,os,Operating system: the main coordinator,mechanism,CORE,TEACH,Implemented,explanation-os,Maintained explanation target.,9c7a17f0a3619f104f2edf16a77bf916959c99786411809523416aabd84db124
053,pathway,Translation pathway,mechanism,OPTIONAL,EXTEND,Implemented,explanation-pathway,Explicit extension visual retained outside compulsory syllabus evidence.,1be671706353f9267c55bc331a4b11bc879de2b7e5defa0de7e1065388574fab
053,stage2-completion,Why an operating system is required and what it manages,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
053,translators,Language translators: source code to executable behaviour,mechanism,OPTIONAL,EXTEND,Implemented,explanation-translators,Explicit extension visual retained outside compulsory syllabus evidence.,3ae21ef0d002db05160d79ed6d3d7b57bd8aefa0f5da17f818b93fc852dbdf25
053,utility,Utility software: maintenance and protection tools,mechanism,OPTIONAL,EXTEND,Implemented,explanation-utility,Explicit extension visual retained outside compulsory syllabus evidence.,c2dc4f9691bb7a3486127f7b796116278f82a8c6a435718aa4e3df541a49e3a7
054,compare,Choose the required utility by its operation,comparison,CORE,TEACH,Implemented,explanation-compare,Maintained explanation target.,5c657e1aab2a9dafde8cb117437eee82a736901f6738f8c59bcb63a2908f09be
054,concept,Why applications need an operating system,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,1bda2956538adf273a7fbd86979a02331f7bf14ba9601b212cabb639a0023b35
054,device,"Why drivers, buffers and queues work together",process,OPTIONAL,EXTEND,Implemented,explanation-device,Explicit extension visual retained outside compulsory syllabus evidence.,7b6aedc2817621f6b09e07d2116383328a95ac6487a5d69533df00f0aa71ddb6
054,file,Why files need metadata and access rules,mechanism,OPTIONAL,EXTEND,Implemented,explanation-file,Explicit extension visual retained outside compulsory syllabus evidence.,f2baa46fca0aa116e0e7747dba24b41b1ef5d7496561941e9a73b8ffef0ea3b7
054,memory,Why memory needs allocation and protection,mechanism,OPTIONAL,EXTEND,Implemented,explanation-memory,Explicit extension visual retained outside compulsory syllabus evidence.,af4b182c0c192fe13396f942a52d5abde98111ce1a38e0602b4b73e308cf8a14
054,process,How time-slicing creates apparent simultaneity,process,OPTIONAL,EXTEND,Implemented,explanation-process,Explicit extension visual retained outside compulsory syllabus evidence.,37101da86405e2a44e59cd618bd827ff72ceeaa3ee3c008781fadf2dc302ed7a
054,services,How OS services form one control layer,synthesis,OPTIONAL,EXTEND,Implemented,explanation-services,Explicit extension visual retained outside compulsory syllabus evidence.,af8fbb5ae42896fe0b92a4eeecdfc17d14e35e19dd499fee9c8a4baaf0532e2f
054,stage2-completion,Required utility software,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
055,cli,Command line interface: precise text commands,mechanism,OPTIONAL,EXTEND,Implemented,explanation-cli,Explicit extension visual retained outside compulsory syllabus evidence.,2600f7e9ca5b8365aaa3cc8c0f6d0cc580ca0b303452dbf8a2e5e800b4d3ba7f
055,compare,Compare interface suitability by scenario,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,4c580b8c3de7f38eb1a3f9270e5915a8e9061bf501e8ebdf37b8cee92bae1a28
055,concept,A user interface allows interaction with a computer system,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,7bbf5ae83f62b6d3d508678f425adf4cd7796f1a02d03732d03bbd9ac85e79d9
055,gui,Graphical user interface: visual objects and pointer actions,mechanism,OPTIONAL,EXTEND,Implemented,explanation-gui,Explicit extension visual retained outside compulsory syllabus evidence.,bf566e1a0d20f78b35644183137deefa53e56e19083e415fc431559abf7ccc90
055,libraries,Libraries provide reusable routines and modules,mechanism,CORE,TEACH,Implemented,explanation-libraries,Maintained explanation target.,23ff3e96f911098e925f5112c21cac7c365103f0f65ec9093c32ed1529413343
055,menu,Menu-driven interface: choose from fixed options,mechanism,OPTIONAL,EXTEND,Implemented,explanation-menu,Explicit extension visual retained outside compulsory syllabus evidence.,0b214a11c27eca4989db1ef07523dde701e641797d7aa073b1985c5713a916ff
055,natural,Natural language interface: ordinary language input,mechanism,OPTIONAL,EXTEND,Implemented,explanation-natural,Explicit extension visual retained outside compulsory syllabus evidence.,c8e9c746e4fc64b7ee6da4bbee3eb1d93fde35bd742d3ca6bc42cdf07d1d646b
055,stage2-completion,Libraries and dynamically linked library files,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
056,antivirus,"Antivirus utilities detect, quarantine and remove malware",mechanism,OPTIONAL,EXTEND,Implemented,explanation-antivirus,Explicit extension visual retained outside compulsory syllabus evidence.,9f2a4f51e1c41055054bdc91acf0b0e3ccbb609b355109f98d89bdd69e2ac4b8
056,backup,Backup utilities create copies so data can be restored,mechanism,OPTIONAL,EXTEND,Implemented,explanation-backup,Explicit extension visual retained outside compulsory syllabus evidence.,986a93f98aa2ca1f15f379bd198b8545e3737b5a2c4e210f11b96d9bd324fb8c
056,compression,Compression utilities reduce file size,mechanism,OPTIONAL,EXTEND,Implemented,explanation-compression,Explicit extension visual retained outside compulsory syllabus evidence.,83a636d7b164a3fd08555ea688535a9ae7b19755c579b69f061cfaece19ecdc3
056,concept,Utility software performs maintenance and support tasks,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,bdfd4abdf960fc7f4204b229d83ce16fdcccf14cc9740de1674c4183b7bb4a3c
056,defrag,Defragmentation rearranges fragmented files on magnetic disks,mechanism,OPTIONAL,EXTEND,Implemented,explanation-defrag,Explicit extension visual retained outside compulsory syllabus evidence.,9a05a338ecdc9f321cdb26a0ecb87012b633f2910f18f236a61c22b216af15e1
056,encryption,Encryption utilities protect confidentiality,mechanism,OPTIONAL,EXTEND,Implemented,explanation-encryption,Explicit extension visual retained outside compulsory syllabus evidence.,0341b8f8f26264e3653277519078011611cc666b2551e7f2ba0939c71c2d0451
056,stage2-completion,"Assembler, compiler and interpreter choices",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
057,assembler,An assembler translates assembly language into machine code,mechanism,OPTIONAL,EXTEND,Implemented,explanation-assembler,Explicit extension visual retained outside compulsory syllabus evidence.,6e8c8ceec6fe9f48639dcc299d7d508f0daad4a83f03abc5bbd812cc8f0a64a9
057,compare,"Comparison: same goal, different route",comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,9b34ca20b6575e97ed0b95a91eb4deff77048c49c3915b18a9255527958336b6
057,compiler,A compiler translates the whole high-level program before execution,mechanism,OPTIONAL,EXTEND,Implemented,explanation-compiler,Explicit extension visual retained outside compulsory syllabus evidence.,06bee4944b3522e9775c93b6fbcae34121b38308f61e536e969d0e22eeddbd57
057,concept,Translator software converts program code into another form,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,40a8dd7121cd17c2ca027139f88021db13897a24162a3b40fe66ada96bbdb1ba
057,interpreter,An interpreter translates and executes statements as the program runs,mechanism,OPTIONAL,EXTEND,Implemented,explanation-interpreter,Explicit extension visual retained outside compulsory syllabus evidence.,b2e8905b4bcef0b7d7fc7f26e52e000691150624c764a892f835c29000200d4d
057,stage2-completion,Java translation and required IDE features,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
058,generation,Code generation produces object code,mechanism,OPTIONAL,EXTEND,Implemented,explanation-generation,Explicit extension visual retained outside compulsory syllabus evidence.,abd51b6404894b13e4960ea07ea657c9d51f84b07fe1c20cd66f0be55a3a4c40
058,lexical,Lexical analysis converts character streams into tokens,mechanism,OPTIONAL,EXTEND,Implemented,explanation-lexical,Explicit extension visual retained outside compulsory syllabus evidence.,d9eb175b5352b34162e0a5b92fe92c44a3a62ab64b2abdf87ca81221f6bebbde
058,optimisation,Optimisation improves code without changing what it does,mechanism,OPTIONAL,EXTEND,Implemented,explanation-optimisation,Explicit extension visual retained outside compulsory syllabus evidence.,7725ffe30e03dd7de3331944a652079cc44bf80c379ee3480810e388438f71e1
058,pipeline,The compilation pipeline transforms source code into object code,mechanism,OPTIONAL,EXTEND,Implemented,explanation-pipeline,Explicit extension visual retained outside compulsory syllabus evidence.,d37fe52215a4419fe5913569127d3a104c808720edf409086c1e00b21f8bf217
058,semantic,Semantic analysis checks meaning and context,mechanism,OPTIONAL,EXTEND,Implemented,explanation-semantic,Explicit extension visual retained outside compulsory syllabus evidence.,fd3813a3e9afbe5587cba1f7b0738bf47a84d042b2568e7c25d99d883cdf343d
058,syntax,Syntax analysis checks grammar and program structure,mechanism,OPTIONAL,EXTEND,Implemented,explanation-syntax,Explicit extension visual retained outside compulsory syllabus evidence.,11809cd7ec5dab81cec9dc5f428bfc13d43be8b9950414026da42edb7194a368
059,compare,Compare the roles without blending them,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,e8de959117ab1c60772ad7ff7abe8deebf5a20218eddb7a1a37ea399fa1df3eb
059,concept,The post-compilation pathway connects code and prepares execution,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,be8477ee365fd539a2714c56aa99f96d79bd88f11a39b969487c1218bd8cde85
059,linkers,Linkers combine object modules and resolve references,mechanism,OPTIONAL,EXTEND,Implemented,explanation-linkers,Explicit extension visual retained outside compulsory syllabus evidence.,b68060fba3a483d7b8a94853c9deec06cc4296d40e3330ae2bf017c3922ba0da
059,loaders,Loaders place executable code into memory,mechanism,OPTIONAL,EXTEND,Implemented,explanation-loaders,Explicit extension visual retained outside compulsory syllabus evidence.,6a40bc72116496c7ba4d39f7e43c6c852612f32b05dd3599c3d3aa7bf03370d0
059,static-dynamic,Static and dynamic linking affect when library code is connected,mechanism,OPTIONAL,EXTEND,Implemented,explanation-static-dynamic,Explicit extension visual retained outside compulsory syllabus evidence.,6d841538f26d5004a142590e04627202a14f0ad12dd08655972253e4c4d6f236
060,compare,Compare error types by evidence,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,065374a6ef498db415b091d8f57f99e0e80367910e9e4a275e7c7f189bc65cac
060,concept,Error classification depends on when and how the fault appears,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,0e7869b126e6ff35e9d21a7197c4131f94710e2e41274d51e07e7584f11a827e
060,diagnostics,Translation diagnostics help locate and correct errors,mechanism,OPTIONAL,EXTEND,Implemented,explanation-diagnostics,Explicit extension visual retained outside compulsory syllabus evidence.,1597cc5e0653d88594cfb79f0f3b6f107214a4441e7558030a927204571f57b8
060,runtime,Runtime errors occur while the program is executing,mechanism,OPTIONAL,EXTEND,Implemented,explanation-runtime,Explicit extension visual retained outside compulsory syllabus evidence.,af68cbec5414d051757c48506217f67dc137822dcb598c032138ced30c295be8
060,syntax,Syntax errors break the grammar rules of the language,mechanism,OPTIONAL,EXTEND,Implemented,explanation-syntax,Explicit extension visual retained outside compulsory syllabus evidence.,4903431bf1429b38df7c4a84fc27737152c10bc51ab04c7f8fcd17486e139feb
061,decision,A good translator choice starts with four questions,mechanism,OPTIONAL,EXTEND,Implemented,explanation-decision,Explicit extension visual retained outside compulsory syllabus evidence.,9375d84ca5a735270bb9273fb17ddfa38aadb9257aa3fb2f95ae6138f3684fcf
061,deployment,"For deployment, a compiler often produces a distributable executable",mechanism,OPTIONAL,EXTEND,Implemented,explanation-deployment,Explicit extension visual retained outside compulsory syllabus evidence.,bdeaf7ae9fae313386d04ab9976a4d15078c39e5891689893936d05d500c4052
061,development,"During development, an interpreter can support rapid testing",mechanism,OPTIONAL,EXTEND,Implemented,explanation-development,Explicit extension visual retained outside compulsory syllabus evidence.,af21fd9a9d1a74c302b0627807d226d6df66da58c6d7b01a0caf10457d51e0a7
061,diagnostics,Error feedback affects the best choice during development,mechanism,OPTIONAL,EXTEND,Implemented,explanation-diagnostics,Explicit extension visual retained outside compulsory syllabus evidence.,9bb21544ea2f04dad53b759dcbaf0f5ced02412b0c4d64a290bca26e50559043
061,lowlevel,"For assembly language, use an assembler",mechanism,OPTIONAL,EXTEND,Implemented,explanation-lowlevel,Explicit extension visual retained outside compulsory syllabus evidence.,90eb50fb4898b405f1dde4f985418bb0b89e89bd20e115dd130ffc389824e830
061,pipeline,"After translation, linking and loading may still be needed",mechanism,OPTIONAL,EXTEND,Implemented,explanation-pipeline,Explicit extension visual retained outside compulsory syllabus evidence.,fd0ecedaea1771574bda4652320d4646e5a6d94dadfdd434a62d8ccb7f514a94
062,compare,Similar terms that the exam likes to separate,synthesis,OPTIONAL,EXTEND,Implemented,explanation-compare,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,f245161f6ba8fff896659f100ca19930972ee323737352bbaca67f92eceb0698
062,precision,Turn a weak answer into marks,synthesis,OPTIONAL,EXTEND,Implemented,explanation-precision,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,ac8ebad167c7ac9c75ba68edd6ffd66fab0c2e14eb98ffe9e9cc59778cf5d3de
062,retrieval,Section 5 in one screen,synthesis,OPTIONAL,EXTEND,Implemented,explanation-retrieval,Review lesson: consolidate related ideas into causal synthesis and avoid adding panels to retrieval items or tools.,52b96e804e08351282040cfa4ddc9656fe3ccc8e26fe4c746591fff4952d2588
063,authenticity,Authenticity checks that identity or data origin is genuine,mechanism,OPTIONAL,EXTEND,Implemented,explanation-authenticity,Explicit extension visual retained outside compulsory syllabus evidence.,ed0712fb0605cbe7cae2f1ada41014093bf522fc8ff8fc3b52bb510dfdf01601
063,availability,Availability keeps systems and data accessible when needed,mechanism,OPTIONAL,EXTEND,Implemented,explanation-availability,Explicit extension visual retained outside compulsory syllabus evidence.,5592c47174b201c09cc6c49a67b11a67477fdb6b85e5ec6680738aa4f3e2020c
063,confidentiality,Confidentiality protects data from unauthorised access,mechanism,OPTIONAL,EXTEND,Implemented,explanation-confidentiality,Explicit extension visual retained outside compulsory syllabus evidence.,5872524501eeebc69086f190ab6f29113688b7bab9d721345642c61f74da8bf6
063,integrity,Integrity protects data from unauthorised or accidental alteration,mechanism,OPTIONAL,EXTEND,Implemented,explanation-integrity,Explicit extension visual retained outside compulsory syllabus evidence.,5528456313e9b1d22d3c37871335451add1265880d5bf62877d3ebd7889b2a29
063,risk-chain,Use the risk chain before naming a control,mechanism,OPTIONAL,EXTEND,Implemented,explanation-risk-chain,Explicit extension visual retained outside compulsory syllabus evidence.,fa1f39ce2463fb1221cb46c3cb8d480367c8e2b3fcd9e4d568e07795e9e99090
063,stage2-completion,"Security, privacy and data integrity",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
064,concept,Malware is malicious software; social engineering manipulates people,mechanism,OPTIONAL,EXTEND,Implemented,explanation-concept,Explicit extension visual retained outside compulsory syllabus evidence.,4926116261140f2ad2a3c0c38b68e701dffa6d93ef491f993b28a53a5ef28249
064,controls,"Match controls to mechanism, not just the word ""malware""",mechanism,OPTIONAL,EXTEND,Implemented,explanation-controls,Explicit extension visual retained outside compulsory syllabus evidence.,e6dba1aea5c7d292237d83e2bb3197a3d5f6e567ff339955112ea6aaa5f9a7c9
064,ransomware,Ransomware denies access by encrypting or locking data,mechanism,OPTIONAL,EXTEND,Implemented,explanation-ransomware,Explicit extension visual retained outside compulsory syllabus evidence.,5696c9f0b60a028c2c272786d57afd50ce272bf174673d2022f11023234a3028
064,social,Social engineering exploits people rather than code,mechanism,OPTIONAL,EXTEND,Implemented,explanation-social,Explicit extension visual retained outside compulsory syllabus evidence.,b21901a687d62a8542ed49c02dc1d9ec651d68a000fa6b1820d9347d9630ee29
064,spyware,Spyware secretly monitors activity or collects data,mechanism,OPTIONAL,EXTEND,Implemented,explanation-spyware,Explicit extension visual retained outside compulsory syllabus evidence.,39e347077def12899f8143b03ab50f36aaea08551fdfd9ed068d26cbda4b4497
064,stage2-completion,"Virus, spyware, anti-virus and anti-spyware",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
064,trojan,Trojan: malicious code disguised as legitimate software,mechanism,OPTIONAL,EXTEND,Implemented,explanation-trojan,Explicit extension visual retained outside compulsory syllabus evidence.,db3e25a8ccfc79cc1f47214b4ead1dd202d3037c75c68c7660cc7831e0ea87d4
064,virus,"Virus and worm: both can spread, but not in the same way",mechanism,OPTIONAL,EXTEND,Implemented,explanation-virus,Explicit extension visual retained outside compulsory syllabus evidence.,f533ffad7ba02e0463cb45c2a911cedf142c9de64abbabb9c352c2a1fd5b2d84
065,compare,Compare by route and result,comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,699dfaf11de2c86f303c42e1c2cfa86945132754595628e4caf8b9603fb44579
065,controls,Controls must fit the attack route,mechanism,OPTIONAL,EXTEND,Implemented,explanation-controls,Explicit extension visual retained outside compulsory syllabus evidence.,1fb7169bcb2c5ab3d706893b2b6079588b767bfeed0138cdb8ecf3551d4dad22
065,core,"Start from mechanism, then discuss impact",mechanism,OPTIONAL,EXTEND,Implemented,explanation-core,Explicit extension visual retained outside compulsory syllabus evidence.,c4d6b190f08729df5891e88718f21d791256be3e6b737f65a0005aecff12bbb3
065,dos,Denial-of-service: making a service unavailable,mechanism,OPTIONAL,EXTEND,Implemented,explanation-dos,Explicit extension visual retained outside compulsory syllabus evidence.,9f7632b89c1c000be56132613ca2e946ba45620ca63365ca8d36489c1ad81847
065,hacking,Hacking: gaining unauthorised access to a system or data,mechanism,OPTIONAL,EXTEND,Implemented,explanation-hacking,Explicit extension visual retained outside compulsory syllabus evidence.,daaf3a6f803743b0b2750ecc7b4fab11fcd09dab276b4a330d7368401832d347
065,pharming,Pharming: redirecting users to a fake website,mechanism,OPTIONAL,EXTEND,Implemented,explanation-pharming,Explicit extension visual retained outside compulsory syllabus evidence.,ba6fa6db5b76dc90f3a54e8ace373749a7eb68c73280da20c464e9c48c965402
065,phishing,Phishing: tricking users into revealing information or visiting a fake page,mechanism,OPTIONAL,EXTEND,Implemented,explanation-phishing,Explicit extension visual retained outside compulsory syllabus evidence.,68036b1df09cda133301be6581ccb2e2bd7d72e3133f8586bf526ab1b008fda4
065,stage2-completion,Required internet threats and matching risk-reduction methods,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
066,biometrics,Biometrics: convenient identity evidence from physical or behavioural features,mechanism,OPTIONAL,EXTEND,Implemented,explanation-biometrics,Explicit extension visual retained outside compulsory syllabus evidence.,b2c1260715448b05fc99db01e61b1948fee9c252915a7a43ffab79b1f827b93f
066,compare,"Compare methods by evidence, risk and context",comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,97fc9c3d474c0e2766389014e1fd91a504cf27d862194afa95a19e9177af15c7
066,core,Authentication is identity checking,mechanism,OPTIONAL,EXTEND,Implemented,explanation-core,Explicit extension visual retained outside compulsory syllabus evidence.,752e4c1b086cec1b724828a5c6111061b2e78f1824dae6f08cfbad839a821c04
066,factors,"Authentication factors: know, have, are",mechanism,OPTIONAL,EXTEND,Implemented,explanation-factors,Explicit extension visual retained outside compulsory syllabus evidence.,6d87b85aa9bfbdcb4118899b1d99ce19c03a305fff0c55e5f6b4a64f38125f31
066,mfa,MFA combines different factor types,mechanism,OPTIONAL,EXTEND,Implemented,explanation-mfa,Explicit extension visual retained outside compulsory syllabus evidence.,68f03d25557a6b802a24960e8bb06decfa092802ea4a5a331b55ddf014818086
066,password-tool,Estimate password quality without collecting real passwords,mechanism,OPTIONAL,EXTEND,Implemented,explanation-password-tool,Explicit extension visual retained outside compulsory syllabus evidence.,cd15853f7f804a1b189d71cffd7dc6bb72484f890ea6e91654cd15d4e026110b
066,passwords,"Passwords: cheap, familiar and often ruined by humans",mechanism,OPTIONAL,EXTEND,Implemented,explanation-passwords,Explicit extension visual retained outside compulsory syllabus evidence.,49b802050ae710b7486ba50ff1a8443394a958f4b284784abeda2ffd7d5ec030
066,stage2-completion,"User accounts, passwords and biometric authentication",process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
066,tokens,Tokens: proof that the user has a specific device or object,mechanism,OPTIONAL,EXTEND,Implemented,explanation-tokens,Explicit extension visual retained outside compulsory syllabus evidence.,5f72e9f9fa88df05bcb0570e7c2f9653605df9ec4cfa5b581d7f16a08855285b
067,controls,"One control can support more than one goal, but not every goal",mechanism,CORE,TEACH,Implemented,explanation-controls,Maintained explanation target.,184f07f7f1dad4cca5dfe98827ced4fe47cb46bd6375e9034ab55b0606ce8f61
067,core,Access control decides what authenticated users may do,mechanism,OPTIONAL,EXTEND,Implemented,explanation-core,Explicit extension visual retained outside compulsory syllabus evidence.,4aba9f0d4863e370f0cae5048b42554ccd9bbe831c5fa9044a788766e1cdb2af
067,least,Least privilege reduces unnecessary damage,mechanism,OPTIONAL,EXTEND,Implemented,explanation-least,Explicit extension visual retained outside compulsory syllabus evidence.,97e1753502275d7296076f082406f139195aef07af7768481de7074b0d34ad88
067,matrix,A permission matrix makes access decisions visible,mechanism,OPTIONAL,EXTEND,Implemented,explanation-matrix,Explicit extension visual retained outside compulsory syllabus evidence.,a1973e9f647e66cc54e00a4939b79df5d4e4eca8d7f5c319648a6c2d3711978d
067,review,"Permissions need review, not just setup day optimism",mechanism,OPTIONAL,EXTEND,Implemented,explanation-review,Explicit extension visual retained outside compulsory syllabus evidence.,79d6e5248bf0dd2db45fc6506e902d65df18d47b0888e19ae6e484274ab7c5c9
067,rights,Common permission types,mechanism,OPTIONAL,EXTEND,Implemented,explanation-rights,Explicit extension visual retained outside compulsory syllabus evidence.,c93eed63fb0a7b236a214be8ca2cda14a1c7ec9f74146805bbd8465530a99143
067,stage2-completion,Access rights and encryption as data-security methods,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
067,users,"Users, groups and roles keep permissions manageable",mechanism,OPTIONAL,EXTEND,Implemented,explanation-users,Explicit extension visual retained outside compulsory syllabus evidence.,6a6b75a5a740c921852f839981932e1f12b75a5aceb4942d220ae4d952b9ecfa
068,certificates,How a certificate supports trust,mechanism,OPTIONAL,EXTEND,Implemented,explanation-certificates,Explicit extension visual retained outside compulsory syllabus evidence.,71d2dd0d22710a069526b708e4dcf95599aa1f9e2bdbd0cf6dd11f609ee4e558
068,compare,How the required property chooses the method,tradeoff,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,7eaebb3398fe11919c46548eaf75bd0995da80d7ad6d5baf98432d373d3c5639
068,core,Why security methods cannot substitute,comparison,OPTIONAL,EXTEND,Implemented,explanation-core,Explicit extension visual retained outside compulsory syllabus evidence.,93b890eac0d7966c5e5c407060cceb581416f1521831daeb1be102f35d4aea82
068,encryption,How encryption protects confidentiality,mechanism,OPTIONAL,EXTEND,Implemented,explanation-encryption,Explicit extension visual retained outside compulsory syllabus evidence.,39033d391e9403f1622941057f3cd69d3650f1359b3bcae76771655d7e3a8d09
068,hashing,Why a hash supports comparison,mechanism,OPTIONAL,EXTEND,Implemented,explanation-hashing,Explicit extension visual retained outside compulsory syllabus evidence.,95eb2538b938c9c6f822d60c5a1b6c824a987456944b0a583659145505fa6433
068,https,How HTTPS combines trust and privacy,process,OPTIONAL,EXTEND,Implemented,explanation-https,Explicit extension visual retained outside compulsory syllabus evidence.,09278402053919f98f63250f2bdc280f26c8766b234985b6f43257fcc96943a1
068,keys,Why key ownership changes capability,mechanism,OPTIONAL,EXTEND,Implemented,explanation-keys,Explicit extension visual retained outside compulsory syllabus evidence.,b1e728d639153b7a0b50cf603ff5cb0b0610608cb7caf41c5f4a29c2809e72bf
068,stage2-completion,Digital signatures and encryption,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
069,core,Network controls sit between traffic and risk,mechanism,OPTIONAL,EXTEND,Implemented,explanation-core,Explicit extension visual retained outside compulsory syllabus evidence.,897e780045929ac4842a94184366054c0190d860091fd73b02481af00cf7b9e7
069,event-tool,Which control is most relevant?,mechanism,OPTIONAL,EXTEND,Implemented,explanation-event-tool,Explicit extension visual retained outside compulsory syllabus evidence.,ab996252288f22503d54ee880b8866b1f10ff26d9d42e3fa01b2c83f38e8059f
069,firewall,Firewalls filter traffic using rules,mechanism,OPTIONAL,EXTEND,Implemented,explanation-firewall,Explicit extension visual retained outside compulsory syllabus evidence.,48e8d3a00cd5ed5c8322c5fdeffc88cea6591e3ccaaa99541340f0f2b77335c3
069,limits,Controls reduce risk but have limits,mechanism,OPTIONAL,EXTEND,Implemented,explanation-limits,Explicit extension visual retained outside compulsory syllabus evidence.,a3940899d5ace655f6dd86009711e2a1bf031a2e05a431eaaebbfaa3ac7c29d3
069,monitoring,Network monitoring watches for patterns and evidence,mechanism,OPTIONAL,EXTEND,Implemented,explanation-monitoring,Explicit extension visual retained outside compulsory syllabus evidence.,3067900a1f44ac61cf2bb9cf797a21933d4425e8977406eb72875333e190835f
069,proxy,A proxy acts as an intermediary,mechanism,OPTIONAL,EXTEND,Implemented,explanation-proxy,Explicit extension visual retained outside compulsory syllabus evidence.,cca49cec87717bc03fa0fabbcf3233b25cdb30afff08fad689c3f87f235766f8
069,rules,Firewall rules should be specific and ordered,mechanism,OPTIONAL,EXTEND,Implemented,explanation-rules,Explicit extension visual retained outside compulsory syllabus evidence.,f4c54d29368e2d8073c6c4455f8acfc9c77b6de2664a5e8b9d16ac925b72035a
069,stage2-completion,Firewall protection from a stand-alone PC to a network,process,CORE,TEACH,Planned,,"Core concept: explain mechanism, cause, consequence and boundary instead of repeating the definition.",
070,checks,Common validation checks,mechanism,CORE,TEACH,Implemented,explanation-checks,Maintained explanation target.,4f2845116405885e9162bcc1344c50c4970a1e58f4b598c085e89ce59f8fefed
070,compare,"Validation and verification are partners, not synonyms",comparison,OPTIONAL,EXTEND,Implemented,explanation-compare,Explicit extension visual retained outside compulsory syllabus evidence.,112d0ad4fa5e34328fda960d4ce16633f49fe9a1e32d3da31c609ef70e17c2cd
